"","AMD.Close","GSPC.Close"
"2022-01-03",150.240005,4796.560059
"2022-01-04",144.419998,4793.540039
"2022-01-05",136.149994,4700.580078
"2022-01-06",136.229996,4696.049805
"2022-01-07",132,4677.029785
"2022-01-10",132,4670.290039
"2022-01-11",137.309998,4713.069824
"2022-01-12",137.470001,4726.350098
"2022-01-13",132.740005,4659.029785
"2022-01-14",136.880005,4662.850098
"2022-01-18",131.929993,4577.109863
"2022-01-19",128.270004,4532.759766
"2022-01-20",121.889999,4482.72998
"2022-01-21",118.809998,4397.939941
"2022-01-24",116.529999,4410.129883
"2022-01-25",111.129997,4356.450195
"2022-01-26",110.709999,4349.930176
"2022-01-27",102.599998,4326.509766
"2022-01-28",105.239998,4431.850098
"2022-01-31",114.25,4515.549805
"2022-02-01",116.779999,4546.540039
"2022-02-02",122.760002,4589.379883
"2022-02-03",120.080002,4477.439941
"2022-02-04",123.599998,4500.529785
"2022-02-07",123.669998,4483.870117
"2022-02-08",128.229996,4521.540039
"2022-02-09",132.850006,4587.180176
"2022-02-10",125.769997,4504.080078
"2022-02-11",113.18,4418.640137
"2022-02-14",114.269997,4401.669922
"2022-02-15",121.470001,4471.069824
"2022-02-16",117.690002,4475.009766
"2022-02-17",112.370003,4380.259766
"2022-02-18",113.830002,4348.870117
"2022-02-22",115.650002,4304.759766
"2022-02-23",109.760002,4225.5
"2022-02-24",116.610001,4288.700195
"2022-02-25",121.059998,4384.649902
"2022-02-28",123.339996,4373.939941
"2022-03-01",113.830002,4306.259766
"2022-03-02",118.279999,4386.540039
"2022-03-03",111.980003,4363.490234
"2022-03-04",108.410004,4328.870117
"2022-03-07",102.949997,4201.089844
"2022-03-08",105.529999,4170.700195
"2022-03-09",111.050003,4277.879883
"2022-03-10",106.459999,4259.52002
"2022-03-11",104.290001,4204.310059
"2022-03-14",102.25,4173.109863
"2022-03-15",109.330002,4262.450195
"2022-03-16",115.370003,4357.859863
"2022-03-17",111.690002,4411.669922
"2022-03-18",113.459999,4463.120117
